,Neuron1,Neuron2,Neuron3,Neuron4,Neuron5,Neuron6,Neuron7,Neuron8,Neuron9,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16
F20,-0.2842966,-0.23415074,0.32382742,0.29816863,0.14965716,-0.03465277,0.090383545,0.33875954,0.19887868,0.022847623,0.2194303,0.29485336,0.19690987,-0.29327777,-0.12823299,-0.005910398
F21,-0.14659937,0.32362655,-0.22786142,-0.025193185,-0.34258032,-0.15029413,-0.121492654,0.45887336,0.35612026,-0.24223202,0.32518187,-0.07208579,-0.09682351,-0.06463389,-0.021292299,0.29157472
F22,-0.27474436,-0.057555582,-0.27201322,0.25407532,0.16769564,-0.15170428,-0.15447791,0.13395026,-0.26594037,0.08888215,-0.057908714,0.29340172,-0.25609055,-0.13981968,0.00076144934,-0.10558809
F23,0.29033467,0.09435121,0.012321532,-0.29483795,-0.37998486,0.056072146,-0.1905784,-0.08094394,-0.07515097,0.21584961,0.13312557,-0.21172048,-0.22169076,0.19595766,-0.35162187,0.39013416
F24,-0.24654692,0.0698328,-0.09982854,-0.025064021,0.20252417,0.101882696,0.23199227,0.15718909,-0.022907138,-0.17416668,-0.09722614,0.17141995,-0.30779546,0.3321058,-0.16947153,0.38553604
F25,0.06870332,0.12342989,-0.13180918,-0.23110946,0.17187059,0.11123672,-0.13225926,-0.041083544,0.18400934,-0.04414311,-0.13014877,0.12474814,0.1468676,-0.20053478,0.27634832,-0.21994554
F26,-0.30936036,0.1280423,-0.27255112,-0.11319773,0.27777323,-0.05912265,-0.099564634,-0.12894604,0.013122916,0.11432204,0.21627,0.26591215,-0.23329984,-0.37215698,0.047378212,0.32574537
F27,-0.018232912,-0.15427558,0.28237054,-0.3020727,-0.06534005,-4.684925e-05,0.019865677,0.32107258,-0.28574258,-0.052649915,0.27170202,-0.35776344,-0.178373,-0.2553151,-0.3163441,-0.108294025
F28,-0.06913331,0.3323567,-0.08065888,-0.28728312,0.11251611,0.14359245,0.17004852,-0.090114474,0.24784693,-0.18510154,0.3003268,-0.38246962,0.14240637,0.2911521,-0.015496284,-0.082376234
F29,0.33551285,-0.024578637,-0.10351288,0.06650999,0.29874268,0.08860996,-0.23799935,-0.16706663,-0.27293277,-0.25223374,0.16968802,0.24493651,0.28272685,-0.5302789,-0.2700257,-0.31860948
F30,-0.30072764,0.14587983,0.17444947,0.14062694,-0.20400548,-0.30640975,0.3091054,-0.097986124,-0.0047981143,-0.2610496,-0.2678392,0.2169385,0.038998067,-0.34305593,0.21479455,-0.09324716
