feature,weight_list
F14,"[0.12018593090654282, 0.2898722495410409, 0.061435805053403666, 0.27079876216618964, 0.3240448997148618, 0.30160809808544725, 0.3023686410098238, 0.26221000945672834, 0.12735932471745234, 0.2946877124615746, 0.1200699942723092, 0.02798711964751254, 0.10457770628074128, 0.39146933892014324, 0.23774514571966388, 0.3081002354584058]"
F15,"[0.16551301369251173, 0.022404865304355818, 0.04305258247246327, 0.0614259079879041, 0.21493983429978933, 0.14373983975320734, 0.12772944101862088, 0.08546955703307606, 0.019478233647518495, 0.0733521475980637, 0.026659785869232462, 0.12525881978604714, 0.10094131943751057, 0.0422287606700673, 0.1248152443978714, 0.06149690333758778]"
F16,"[0.037177825861484624, 0.1065106891454424, 0.22938884108920235, 0.05191885184610286, 0.13691188239468566, 0.1718345649139758, 0.13743231747645535, 0.11401755723179181, 0.10672937111528864, 0.17191464796479994, 0.14602949705911225, 0.06936386886552419, 0.11050793930610932, 0.5600976157700442, 0.2558626680241397, 0.1342373091734028]"
F17,"[0.020731047440317316, 0.05913130589704388, 0.05654687336577993, 0.09885427371115628, 0.3144648268847028, 0.015912736328784618, 0.014186643628936008, 0.16840260057213116, 0.2108196440430954, 0.08588016279491653, 0.14042232438536004, 0.09212117904401596, 0.28514708761231294, 0.30453131283192414, 0.06957762310987771, 0.03511784653548349]"
F18,"[0.11163624376611464, 0.37123807243566354, 0.005763513804217139, 0.07761155253456038, 0.3740376934601992, 0.25137326733690046, 0.06682869454715525, 0.1216694998089872, 0.0536298880574065, 0.015058604864589637, 0.0928690602166312, 0.15165346019234222, 0.037576283504783696, 0.010428506271235724, 0.24635999049342097, 0.13127325010120616]"
F19,"[0.002839118826545954, 0.05688166106983062, 0.10570001167996913, 0.1597227265435357, 0.18673787189263832, 0.05582240225123378, 0.08621886737702272, 0.19306013483854803, 0.20779717285827265, 0.10176306478947103, 0.26899528538661643, 0.15037838199066042, 0.1445525027154347, 0.21594392156265088, 0.07087002347522249, 0.05360076272756969]"
F20,"[0.21253652571629084, 0.07700367423232542, 0.022426486188467095, 0.030449147968966826, 0.15724307102839527, 0.023920521283868196, 0.002373954208512681, 0.020676980792507235, 0.0779728083080249, 0.011277982758616264, 0.06114151621003342, 0.21266821177455025, 0.2519254401263092, 0.2553939808074947, 0.08865780649995485, 0.061187785292224815]"
F21,"[0.1702878103263453, 0.2492023823767712, 0.12981747795969864, 0.03943471093080492, 0.21914940108607134, 0.1289010266915781, 0.5112904241081019, 0.2836146079325163, 0.003518083963636472, 0.38623204170810227, 0.11674394162835035, 0.1408061711151564, 0.018818648068674136, 0.03379888063525865, 0.24714663233217948, 0.06462484879237336]"
F22,"[0.2156773738230449, 0.08951412846987784, 0.2809678819551887, 0.26427482639707967, 0.1899270997703607, 0.06638096570666806, 0.21464842887317356, 0.12844133996067497, 0.2568715239793474, 0.039901407701791854, 0.13583434458578952, 0.32694409339583475, 0.164041726783276, 0.13457316295865354, 0.1483482126398677, 0.24406927005700718]"
F23,"[0.19935603555581238, 0.0667649158933618, 0.04195888775836283, 0.18563169995120044, 0.2643013681420755, 0.266131728347402, 0.5259399389339525, 0.14895345689361195, 0.32415055652522623, 0.01642942563706125, 0.0247624289383737, 0.006562140431928532, 0.1081090952819547, 0.2364653663528162, 0.03484176216458362, 0.03187819487143135]"
F24,"[0.297271159560721, 0.08677402128794365, 0.08796464389659389, 0.032975193433039694, 0.1389317527396425, 0.36146111276007453, 0.29433977569753833, 0.10322510792967284, 0.29738509399429014, 0.3653922840557267, 0.26299680635980444, 0.3322361416530875, 0.10937610066157548, 0.03257206454012672, 0.13546094144512438, 0.08533102957556263]"
F25,"[0.036257963511650435, 0.0674122892636698, 0.1930473438416321, 0.21380417419725176, 0.08982457318121344, 0.17678669383867254, 0.23616509079664538, 0.0846101726096528, 0.015995766023347263, 0.019231815434446825, 0.1622474785966089, 0.2659693913224013, 0.15898317982082075, 0.1785404659491233, 0.35927095672771653, 0.32482365127644186]"
F26,"[0.2659512171688697, 0.10599415080292521, 0.36952348705310534, 0.1942193895410651, 0.1063500054019426, 0.023245592379471044, 0.16255432428342503, 0.2847166352062788, 0.1278167064832193, 0.10490635424319597, 0.09284579554242796, 0.31276960381344576, 0.06875231299589572, 0.22942439659960828, 0.18261835997003714, 0.03910592102420514]"
F27,"[0.1410543803054663, 0.04464539573659745, 0.02417869125157659, 0.38392990197932964, 0.14588597102542558, 0.13131814684277893, 0.27788719072481477, 0.01241412969933864, 0.43309522997923716, 0.1497408818291257, 0.07177070862914894, 0.10688246859124538, 0.02022502531659725, 0.17352563998913972, 0.027869108626633127, 0.40240914824238255]"
F28,"[0.16612176766991843, 0.310090441222962, 0.237411099317984, 0.3251262002678542, 0.018767169414633633, 0.39128628254538894, 0.2637561165892723, 0.2832757804944318, 0.07060008372946412, 0.2859679317489581, 0.12852545141504274, 0.08873255354001515, 0.24864215440314605, 0.3288667631650841, 0.33327543715297875, 0.4652933544349488]"
F29,"[0.08993645336231489, 6.767972737031373e-05, 0.18431249716658063, 0.005846056247939149, 0.14078815846471593, 0.20552011414636553, 0.26802566380062515, 0.18066003197979077, 0.30889514764705667, 0.20669218762334152, 0.06253418933909903, 0.3338144377816158, 0.2905218201661794, 0.1490399663197779, 0.018172020657590555, 0.33268076483979286]"
F30,"[0.24291169141191307, 0.10942893280776424, 0.025227717938974655, 0.03693320217340299, 0.2450252663300538, 0.3245404751795279, 0.27052368035679886, 0.20906190553473947, 0.07910148293980164, 0.085702844475052, 0.23873474703842332, 0.21971513382779254, 0.13377425496528458, 0.02051196452061468, 0.14492051900693215, 0.14455745667937842]"
