feature_16,feature_23,feature_21,feature_3,feature_8,feature_28,feature_27,feature_13,feature_14,feature_1,feature_4,feature_18,target
0.005612,85.67,13.46,81.37,0.02864,0.05882,0.1039,1.471,18.33,12.78,502.5,0.008662,0
0.01652,165.9,24.86,123.6,0.07951,0.1789,0.2687,5.486,96.05,18.94,1130.0,0.0137,1
0.09368,62.56,9.733,58.79,0.02872,0.04786,0.1434,3.168,25.44,8.888,244.0,0.01766,0
0.05616,151.6,23.32,114.2,0.07944,0.1899,0.6566,3.705,69.47,17.2,929.4,0.01127,1
0.02065,110.3,16.57,90.43,0.05069,0.1383,0.2779,1.957,23.35,13.8,584.1,0.009206,1
0.01819,89.71,14.11,79.19,0.02272,0.0866,0.1703,1.74,19.68,12.31,470.9,0.007965,0
0.02203,128.8,19.77,104.1,0.06638,0.152,0.2829,5.029,79.25,16.07,817.7,0.01809,1
0.02839,91.36,14.08,87.91,0.06556,0.07407,0.08539,2.652,32.65,13.53,559.2,0.008239,0
0.05839,150.1,22.39,120.2,0.108,0.2102,0.3786,6.311,134.8,18.05,1006.0,0.0207,1
0.06835,170.3,23.37,143.7,0.1604,0.2508,0.7681,8.649,116.4,20.18,1245.0,0.02593,1
0.01661,91.88,14.24,83.19,0.02315,0.07926,0.1731,1.778,20.35,12.86,506.3,0.008179,0
0.01706,84.53,13.11,73.81,0.02233,0.06127,0.1755,2.077,24.62,11.45,401.5,0.007506,0
0.03575,96.66,15.53,86.49,0.06987,0.1708,0.4858,1.535,12.96,13.34,520.0,0.01383,0
0.05693,211.7,30.0,171.5,0.1845,0.2867,0.6476,7.382,120.0,25.22,1878.0,0.0203,1
0.0605,141.3,20.33,129.1,0.1469,0.1841,0.2432,5.801,67.1,19.1,1132.0,0.01843,1
0.01812,87.78,13.67,76.95,0.01863,0.07632,0.2267,1.441,16.16,12.0,443.3,0.007027,0
0.01649,152.2,22.93,121.1,0.08795,0.1642,0.3157,4.782,80.6,18.46,1075.0,0.0142,1
0.02983,108.4,16.21,94.25,0.04938,0.1225,0.3349,3.301,38.87,14.48,648.2,0.01761,1
0.01842,152.9,24.56,122.0,0.08271,0.1956,0.5755,3.055,57.65,19.02,1076.0,0.012,1
0.02493,91.46,13.83,79.78,0.03745,0.1205,0.2434,2.203,20.95,12.36,466.1,0.01293,0
0.04412,109.4,16.34,95.77,0.07064,0.1397,0.2604,3.814,42.76,14.64,651.9,0.01623,0
0.01818,102.9,16.11,94.57,0.02957,0.06946,0.09189,2.279,33.76,14.62,662.7,0.008606,0
0.02444,107.5,16.43,100.2,0.07483,0.1476,0.2846,2.075,29.44,15.37,728.2,0.01763,1
0.01038,104.5,16.36,84.74,0.02648,0.1001,0.135,2.701,36.35,13.27,551.7,0.01082,0
0.01491,97.59,15.1,86.6,0.0278,0.07911,0.1381,2.099,25.22,13.45,555.1,0.009366,0
0.03715,123.5,18.23,100.3,0.08815,0.2115,0.5203,3.706,47.14,15.06,705.6,0.01851,1
0.03482,156.1,24.22,132.4,0.08683,0.1573,0.4098,4.554,87.87,20.26,1264.0,0.01269,1
0.01179,82.14,12.83,77.79,0.02941,0.05882,0.0498,2.41,24.44,12.18,451.1,0.01519,0
0.01463,68.81,10.92,62.11,0.007937,0.02381,0.02049,2.132,20.05,9.787,294.5,0.00525,0
0.0133,82.96,13.06,74.34,0.0335,0.08449,0.1922,1.475,15.75,11.6,412.6,0.006884,0
0.02895,109.5,16.33,94.48,0.05839,0.1565,0.3194,2.376,26.85,14.42,642.5,0.01424,1
0.01488,108.6,16.99,88.05,0.04489,0.1184,0.3169,2.861,43.14,13.61,582.7,0.009921,1
0.01084,50.41,7.93,43.79,0.0,0.0,0.0,1.553,9.833,6.981,143.5,0.0,0
0.006098,84.58,13.34,77.22,0.0177,0.07431,0.1145,1.183,14.68,12.18,458.7,0.006797,0
0.02196,72.22,10.76,63.95,0.03029,0.09749,0.2644,1.528,11.77,9.876,298.3,0.01112,0
0.02219,74.22,11.54,67.41,0.01201,0.03203,0.07987,2.302,23.13,10.49,336.1,0.008614,0
0.02912,106.4,16.31,87.21,0.09601,0.1986,0.6376,2.41,34.66,13.11,530.2,0.01388,1
0.0231,85.51,13.14,75.17,0.03485,0.1218,0.2873,2.155,20.62,11.64,412.5,0.01398,0
0.01047,85.56,13.29,79.01,0.01921,0.08442,0.1937,0.8484,9.227,12.36,466.7,0.005558,0
0.08668,206.8,28.4,152.8,0.1823,0.291,0.9608,10.05,170.0,22.27,1509.0,0.0248,1
0.01557,83.99,13.01,72.48,0.01899,0.08278,0.312,1.597,16.41,11.34,396.5,0.006435,0
0.02932,71.68,11.05,62.5,0.01778,0.05334,0.13,2.747,22.87,9.777,290.2,0.01023,0
0.04042,89.0,13.33,82.15,0.06021,0.1105,0.2216,2.711,20.48,12.63,480.4,0.02295,0
0.07446,107.0,15.3,97.83,0.07798,0.1505,0.6783,3.399,29.25,14.26,629.9,0.02292,0
0.03747,72.62,11.16,68.64,0.03068,0.06136,0.1295,2.041,19.91,10.51,334.2,0.01544,0
0.02213,64.48,9.628,55.84,0.01924,0.105,0.2456,1.354,8.966,8.726,230.9,0.0104,0
0.02507,87.54,13.67,76.53,0.02008,0.07247,0.1503,2.0,24.79,11.93,438.6,0.007711,0
0.0676,63.34,9.414,58.74,0.02308,0.03846,0.1544,3.28,16.94,8.95,245.2,0.02308,0
0.02563,127.1,18.81,98.64,0.08923,0.2027,0.4704,2.989,41.18,14.87,682.5,0.01271,1
0.03976,130.3,20.19,105.7,0.09479,0.2034,0.7356,3.598,58.63,15.78,782.6,0.0139,1
0.008422,129.2,20.58,114.2,0.05596,0.1185,0.2249,3.357,54.04,17.95,982.0,0.009863,1
0.01529,83.74,12.82,73.34,0.02623,0.08958,0.2102,1.103,10.5,11.41,403.3,0.00646,0
0.02101,145.4,22.25,121.4,0.08665,0.1674,0.3272,4.895,90.47,18.66,1077.0,0.01601,1
0.09806,180.9,26.02,166.2,0.2012,0.2248,0.5803,9.807,233.0,24.25,1761.0,0.01822,1
0.01276,102.8,15.7,94.28,0.05778,0.1221,0.256,1.928,24.19,14.5,640.7,0.012,0
0.0327,91.99,14.26,86.1,0.028,0.08978,0.3308,1.223,14.66,13.37,553.5,0.01038,0
0.009169,100.3,15.49,88.44,0.01141,0.05104,0.08115,1.495,17.91,13.85,588.7,0.004814,0
0.01174,113.2,16.89,87.76,0.03085,0.1329,0.3796,1.752,19.83,13.61,572.6,0.00688,1
0.02731,148.2,22.32,123.4,0.05627,0.1218,0.3207,5.216,81.23,19.0,1138.0,0.01361,1
0.04185,105.9,16.11,99.58,0.08534,0.1423,0.196,2.796,39.84,15.1,674.5,0.02258,0
0.03179,148.7,22.63,130.4,0.1149,0.1732,0.5673,2.765,63.33,19.79,1192.0,0.01043,1
0.02456,91.38,13.34,79.08,0.02882,0.08187,0.09915,1.973,15.24,12.19,455.8,0.008094,0
0.01484,124.9,19.26,101.7,0.08087,0.1514,0.3791,3.094,48.31,15.46,748.9,0.01093,1
0.01952,129.7,19.47,106.2,0.05613,0.1312,0.2992,2.844,43.68,16.16,809.8,0.009231,1
0.01515,114.3,17.5,102.0,0.05933,0.1374,0.1709,1.972,27.94,15.71,761.7,0.01268,0
0.01422,145.6,22.52,120.2,0.06847,0.1379,0.3965,3.766,68.35,18.45,1075.0,0.009148,1
0.01202,92.04,14.49,81.72,0.02704,0.09331,0.2177,1.457,19.87,12.77,506.3,0.00892,1
0.0138,86.16,13.33,74.72,0.026,0.06968,0.1046,3.258,34.37,11.71,423.6,0.01307,0
0.01521,79.93,12.32,73.06,0.02875,0.08476,0.1399,1.143,12.67,11.43,399.8,0.008602,0
0.0348,121.4,18.55,96.85,0.08624,0.1667,0.3355,8.419,101.9,14.95,678.1,0.02801,1
0.03498,76.53,11.92,73.0,0.04796,0.08611,0.08669,1.851,26.33,11.28,384.8,0.01965,0
0.005656,66.53,10.62,61.24,0.0,0.0,0.0,1.218,12.26,9.738,288.5,0.0,0
0.01938,129.0,19.92,105.1,0.05943,0.1216,0.2802,4.533,74.08,16.11,813.0,0.01167,1
0.01735,82.66,12.78,73.66,0.01861,0.06402,0.07708,1.937,21.38,11.43,398.0,0.00952,0
0.01563,97.17,14.48,83.74,0.03088,0.1012,0.209,1.689,16.64,12.9,512.2,0.007584,0
0.01781,77.79,11.95,68.26,0.007875,0.03413,0.09755,1.806,17.74,10.75,355.3,0.005612,0
0.04741,86.26,13.15,78.11,0.03003,0.06042,0.0942,3.021,25.03,11.9,432.8,0.0111,0
0.03633,91.93,13.74,78.99,0.07415,0.1865,0.4504,2.281,24.72,11.8,432.0,0.01843,1
0.04877,107.1,16.25,97.84,0.03562,0.08405,0.25,3.271,39.43,14.95,689.5,0.01527,0
0.02297,108.6,15.85,93.97,0.05532,0.1599,0.3103,2.12,21.2,14.44,640.1,0.01493,0
0.01592,97.19,15.34,88.12,0.01329,0.06019,0.1564,1.573,21.47,13.74,585.0,0.005828,0
0.01142,90.82,14.16,83.51,0.02645,0.06296,0.08112,2.873,34.78,13.0,519.4,0.01153,0
0.05416,58.08,9.092,53.27,0.02168,0.07879,0.5381,1.243,10.21,8.219,203.9,0.01022,0
0.09586,71.04,11.02,63.78,0.07857,0.1571,0.8216,4.073,49.85,9.731,300.2,0.05279,0
0.008985,76.25,11.99,70.87,0.01786,0.05506,0.07116,1.429,15.48,11.15,381.9,0.008232,0
0.02017,97.67,14.77,85.31,0.03483,0.09722,0.3009,1.819,22.79,13.15,538.9,0.009536,0
0.01562,86.6,13.59,78.27,0.02331,0.08211,0.1943,1.484,16.51,12.25,460.3,0.007924,0
0.04954,132.9,20.47,117.4,0.1054,0.1515,0.3583,5.54,93.91,17.68,963.7,0.01841,1
0.02661,120.3,18.22,108.4,0.02771,0.08436,0.1882,3.479,46.61,16.84,880.2,0.0111,0
0.009789,84.08,13.14,76.84,0.01963,0.07025,0.08636,1.171,13.25,12.06,448.6,0.006273,0
0.006134,78.07,12.36,68.69,0.006588,0.03953,0.01854,1.808,18.54,10.9,366.8,0.003576,0
0.02405,88.91,13.32,76.1,0.03738,0.07909,0.1956,3.926,38.34,11.75,419.8,0.01152,0
0.03055,146.6,22.03,126.3,0.09667,0.1777,0.2264,6.971,119.3,19.19,1157.0,0.02794,1
0.02277,174.9,26.73,130.7,0.1286,0.2247,0.681,4.792,97.07,19.59,1214.0,0.01303,1
0.03175,87.36,13.58,79.85,0.02822,0.08194,0.1688,1.955,21.55,12.34,464.5,0.01135,0
0.02544,184.2,28.01,152.1,0.09702,0.2346,0.3948,4.603,97.85,23.27,1686.0,0.01623,1
0.007983,102.3,15.98,95.5,0.01939,0.05754,0.0775,1.286,16.64,14.97,690.2,0.006432,0
0.009816,73.66,11.6,68.77,0.01698,0.04603,0.1047,1.126,11.48,10.8,357.6,0.005344,0
0.0247,130.7,20.05,109.3,0.06576,0.1474,0.2318,4.129,67.34,16.78,886.3,0.01604,1
0.03634,155.3,23.14,116.1,0.1043,0.1721,0.489,7.337,122.3,17.47,984.6,0.01569,1
0.0137,104.6,16.11,96.22,0.03781,0.08485,0.06648,1.893,24.28,14.97,685.9,0.009073,0
0.0118,86.97,13.5,78.85,0.037,0.09391,0.1242,1.67,17.43,12.32,464.1,0.01241,0
0.01063,116.6,17.98,85.84,0.03438,0.116,0.2644,3.142,43.4,13.43,565.4,0.009443,1
0.02321,125.0,18.79,102.5,0.1097,0.1827,0.583,2.805,44.64,15.46,736.9,0.0132,1
0.02121,72.01,11.35,70.21,0.02583,0.04306,0.03938,1.377,19.08,11.08,372.7,0.01583,0
0.01017,73.2,11.54,67.49,0.0,0.0,0.0,2.155,21.98,10.66,349.6,0.0,0
0.008007,58.36,9.262,54.42,0.0,0.0,0.0,1.435,11.36,8.671,227.2,0.0,0
0.08808,73.07,11.26,64.6,0.03716,0.0991,0.3486,3.132,27.48,9.904,302.4,0.0246,0
0.04094,123.5,17.79,109.3,0.08866,0.2035,0.5862,2.482,31.59,16.46,832.9,0.01813,1
0.002252,88.18,14.0,82.01,0.001852,0.009259,0.007977,1.101,14.34,13.01,526.4,0.001852,0
0.006364,86.7,13.63,81.29,0.0133,0.0399,0.02758,1.778,21.79,12.81,508.8,0.007408,0
0.02537,220.8,33.12,182.1,0.1878,0.2688,0.534,5.82,128.7,27.22,2250.0,0.01241,1
0.04759,176.5,26.68,142.7,0.1496,0.2903,0.678,4.414,81.46,21.09,1311.0,0.01567,1
0.02263,129.3,20.11,101.2,0.05189,0.1541,0.2902,2.406,40.98,15.7,766.6,0.009767,1
0.03728,79.12,12.37,73.53,0.02361,0.06296,0.1648,1.902,22.77,11.41,402.0,0.01712,0
0.01395,113.8,17.8,98.92,0.03263,0.1226,0.363,1.344,19.53,15.28,710.6,0.006009,1
0.012,75.39,11.87,63.76,0.002404,0.01042,0.00692,2.68,26.43,10.08,317.5,0.002404,0
0.009181,139.2,21.31,118.6,0.05814,0.1571,0.3538,1.817,28.92,18.31,1041.0,0.006719,1
0.008704,84.42,13.01,74.68,0.03239,0.1099,0.1521,1.742,17.86,11.71,420.3,0.01185,0
0.008776,79.57,12.57,75.27,0.01553,0.04306,0.08803,1.011,14.47,11.81,428.9,0.00624,0
0.02212,86.65,13.35,78.83,0.01654,0.04815,0.1423,1.687,18.32,12.3,463.7,0.006433,0
0.1354,106.4,15.74,94.37,0.06618,0.1772,0.8488,2.112,31.72,14.22,609.9,0.01666,1
0.0179,89.04,13.75,82.02,0.02864,0.04773,0.05186,5.118,53.65,12.77,507.4,0.01757,0
0.006736,62.25,9.968,60.73,0.0,0.0,0.0,2.23,21.69,9.72,288.1,0.0,0
0.03845,101.7,15.65,81.15,0.04562,0.1459,0.4425,2.642,34.44,12.34,477.4,0.01321,1
0.05122,118.6,16.08,100.4,0.08878,0.1727,0.4589,3.591,25.2,14.86,671.4,0.01883,1
0.01587,90.81,13.88,82.53,0.02377,0.08235,0.1764,1.493,15.75,12.91,516.4,0.00842,0
0.03348,111.6,16.39,90.63,0.06526,0.1673,0.3809,4.906,49.7,13.77,588.9,0.0206,1
0.05296,129.1,19.76,117.4,0.05778,0.09181,0.2535,4.312,76.36,18.08,1024.0,0.01444,1
0.03698,166.4,23.36,127.5,0.06772,0.1708,0.3865,3.833,54.22,19.18,1148.0,0.01221,1
0.01597,117.9,18.33,94.49,0.0598,0.1838,0.4967,1.446,19.42,14.45,642.7,0.007303,1
0.01779,92.15,14.44,78.54,0.04107,0.108,0.1377,2.308,27.24,12.23,461.0,0.0114,0
0.02569,139.5,20.42,115.1,0.07488,0.1939,0.3508,3.088,40.73,17.54,951.6,0.01345,1
0.05121,177.0,25.12,158.9,0.162,0.2733,0.7892,4.667,83.16,23.29,1685.0,0.02465,1
0.03108,128.5,19.2,91.56,0.09176,0.2013,0.4646,3.909,52.72,13.81,597.8,0.01291,1
0.01911,96.05,14.97,81.09,0.03821,0.1015,0.2671,2.497,30.29,12.47,481.9,0.01037,0
0.01919,117.7,17.77,98.78,0.04079,0.1252,0.3327,1.974,26.44,15.12,716.6,0.00826,1
0.01249,67.08,10.42,62.92,0.01952,0.05588,0.06213,1.517,12.33,9.876,295.4,0.007527,0
0.01503,130.0,19.8,109.7,0.0539,0.1096,0.1932,4.106,68.46,17.01,904.3,0.01123,1
0.03041,99.48,14.55,87.02,0.05102,0.1126,0.3162,1.491,15.09,13.11,529.4,0.008304,0
0.01236,113.7,17.38,98.17,0.03157,0.1035,0.2962,1.525,20.0,15.27,725.5,0.007373,0
0.03611,158.3,23.24,134.7,0.09561,0.192,0.3861,7.029,111.7,20.58,1290.0,0.02765,1
0.01727,85.22,13.3,75.51,0.01393,0.06913,0.1471,1.444,17.12,11.84,428.0,0.006747,0
0.02772,188.5,28.11,188.5,0.1595,0.1595,0.3201,21.98,525.6,28.11,2499.0,0.01407,1
0.08555,120.4,18.07,114.5,0.06597,0.1099,0.2803,3.767,58.53,17.42,948.0,0.03927,1
0.0371,115.0,16.86,92.87,0.06462,0.1772,0.3744,3.534,31.0,14.19,610.7,0.01627,1
0.03438,104.4,15.75,90.96,0.05602,0.1654,0.4636,1.933,22.69,13.86,578.9,0.01435,1
0.04192,86.2,13.25,77.32,0.03142,0.1138,0.2806,2.087,21.46,11.89,432.2,0.01785,0
0.0312,75.4,11.48,65.05,0.01071,0.03571,0.1925,2.747,22.79,10.2,321.2,0.01071,0
0.03169,170.3,25.73,129.7,0.08691,0.182,0.3617,6.487,124.4,19.8,1230.0,0.01712,1
0.02644,180.2,27.9,128.0,0.06637,0.1625,0.3995,4.722,109.9,19.53,1223.0,0.01078,1
0.01695,99.71,15.34,87.88,0.02563,0.08056,0.1759,1.391,17.4,13.65,568.9,0.006659,0
0.02314,101.1,14.98,88.59,0.04451,0.0909,0.2577,2.011,21.03,13.56,561.3,0.00836,0
0.014,71.94,11.17,65.12,0.01915,0.05575,0.06572,1.641,15.05,10.18,313.1,0.007624,0
0.02374,125.9,19.56,102.6,0.06462,0.1479,0.3976,2.244,32.19,15.75,761.3,0.008637,1
0.01104,98.84,15.14,84.55,0.02456,0.09678,0.1786,2.044,24.68,13.27,546.4,0.009057,0
0.01428,110.4,16.77,92.51,0.04603,0.1087,0.1632,3.763,48.29,14.34,641.2,0.01286,0
0.008061,73.47,11.52,66.62,0.01216,0.04464,0.02639,1.208,11.86,10.44,329.6,0.004972,0
0.03207,114.2,16.41,97.45,0.0378,0.1379,0.3402,2.276,19.88,15.0,684.5,0.01155,0
0.02294,90.67,14.2,81.35,0.02036,0.118,0.3911,1.445,18.51,12.62,496.4,0.008691,0
0.03858,105.3,15.2,85.26,0.06861,0.1977,0.6282,2.257,25.13,12.83,503.2,0.01499,1
0.02008,133.5,19.59,113.4,0.109,0.2543,0.5018,2.153,31.98,17.05,895.0,0.01384,1
0.01647,79.82,12.08,71.76,0.003125,0.02083,0.1089,1.059,8.605,11.32,395.7,0.003125,0
0.006813,78.44,12.36,70.79,0.006434,0.03002,0.02318,1.489,15.46,11.22,386.8,0.003419,0
0.02062,162.7,24.47,134.4,0.0834,0.1563,0.4146,3.767,70.01,20.51,1319.0,0.01091,1
0.0104,65.74,10.51,60.21,0.01667,0.07222,0.07161,1.215,12.64,9.567,279.6,0.009623,0
0.01383,98.27,15.33,89.79,0.01896,0.07963,0.06231,1.667,22.07,14.03,603.4,0.01004,0
0.02863,206.0,31.01,153.5,0.1237,0.2593,0.582,7.247,155.8,23.21,1670.0,0.01716,1
0.03133,161.7,24.22,132.5,0.06022,0.1445,0.3158,5.144,83.5,20.48,1306.0,0.01671,1
0.02845,102.5,15.75,92.55,0.04408,0.08219,0.3064,2.105,29.96,14.22,623.9,0.01011,0
0.02785,141.2,22.51,113.4,0.08811,0.2066,0.3241,3.002,49.0,17.46,920.6,0.01374,1
0.01248,94.11,14.85,87.38,0.03731,0.09222,0.1533,1.996,27.19,13.64,575.3,0.01103,0
0.00493,83.85,13.2,78.61,0.01108,0.04052,0.06243,0.757,9.006,12.42,476.5,0.003762,0
0.05914,87.16,12.58,73.93,0.02854,0.1218,0.7436,2.369,16.39,11.3,389.4,0.01314,0
0.02667,98.0,15.01,88.54,0.02344,0.06106,0.1359,2.829,39.93,13.75,590.0,0.01007,0
0.03252,144.9,21.65,129.1,0.08886,0.1564,0.3458,4.037,60.41,19.4,1155.0,0.01559,1
0.01386,73.68,11.48,66.72,0.0307,0.06736,0.1181,2.517,23.22,10.48,337.7,0.01133,0
0.01569,88.28,13.94,84.13,0.01105,0.0497,0.2298,0.873,13.56,13.2,541.6,0.005383,0
0.05592,105.0,14.39,84.95,0.0398,0.1561,0.7727,2.393,16.35,12.89,512.2,0.0137,0
0.01035,77.98,12.25,68.01,0.01615,0.06136,0.1125,1.497,16.64,10.65,347.0,0.006245,0
0.01228,80.88,12.65,73.87,0.02929,0.09608,0.1804,1.686,18.62,11.52,406.3,0.01006,0
0.03908,165.3,25.58,138.9,0.131,0.2105,0.6991,6.372,137.9,20.94,1364.0,0.01864,1
0.01065,83.12,12.97,73.28,0.02069,0.06544,0.08105,2.684,26.99,11.5,407.4,0.009175,0
